,CPI,Wages,CPI_YoY,Wage_YoY,Real_Wage_Growth
2006-03-31,199.7,20.05,,,
2006-04-30,200.7,20.15,,,
2006-05-31,201.3,20.13,,,
2006-06-30,201.8,20.23,,,
2006-07-31,202.9,20.29,,,
2006-08-31,203.8,20.32,,,
2006-09-30,202.8,20.4,,,
2006-10-31,201.9,20.42,,,
2006-11-30,202.0,20.49,,,
2006-12-31,203.1,20.58,,,
2007-01-31,203.437,20.59,,,
2007-02-28,204.226,20.68,,,
2007-03-31,205.288,20.73,2.798197295943927,3.3915211970074743,0.5933239010635472
2007-04-30,205.904,20.77,2.5929247633283525,3.076923076923088,0.48399831359473566
2007-05-31,206.755,20.84,2.709885742672613,3.5270740188773075,0.8171882762046945
2007-06-30,207.234,20.95,2.692765113974227,3.5590706870983535,0.8663055731241265
2007-07-31,207.603,20.94,2.3178905864958077,3.2035485460818247,0.885657959586017
2007-08-31,207.667,21.0,1.897448478900876,3.34645669291338,1.4490082140125038
2007-09-30,208.547,21.04,2.8338264299802685,3.1372549019607954,0.3034284719805269
2007-10-31,209.19,21.07,3.610698365527476,3.18315377081293,-0.4275445947145462
2007-11-30,210.834,21.12,4.373267326732666,3.0746705710102518,-1.2985967557224143
2007-12-31,211.445,21.16,4.108813392417532,2.818270165208947,-1.2905432272085848
2008-01-31,212.174,21.19,4.294695655165981,2.9140359397765936,-1.3806597153893874
2008-02-29,212.687,21.27,4.142959270611968,2.852998065764023,-1.2899612048479447
2008-03-31,213.448,21.35,3.9749035501344343,2.9908345393150126,-0.9840690108194217
2008-04-30,213.942,21.38,3.9037609759888126,2.9369282619162274,-0.9668327140725852
2008-05-31,215.208,21.47,4.088413823123993,3.023032629558542,-1.0653811935654511
2008-06-30,217.463,21.52,4.935966105947864,2.7207637231503545,-2.21520238279751
2008-07-31,219.016,21.61,5.497512078341837,3.1996179560649374,-2.2978941222769
2008-08-31,218.69,21.7,5.308017162091239,3.3333333333333215,-1.9746838287579171
2008-09-30,218.877,21.73,4.953319875136075,3.279467680608361,-1.673852194527714
2008-10-31,216.995,21.76,3.7310578899565128,3.2747982914095974,-0.45625959854691533
2008-11-30,213.153,21.86,1.0999174706166848,3.5037878787878673,2.4038704081711826
2008-12-31,211.398,21.94,-0.02222800255385904,3.6862003780718355,3.7084283806256946
2009-01-31,211.933,21.96,-0.11358601902212717,3.6337895233600648,3.747375542382192
2009-02-28,212.705,21.98,0.008463140671510772,3.338034790785138,3.3295716501136274
2009-03-31,212.495,22.05,-0.4464787676623838,3.2786885245901676,3.7251672922525514
2009-04-30,212.709,22.1,-0.5763244243767063,3.3676333021515514,3.9439577265282577
2009-05-31,213.022,22.12,-1.015761495855172,3.0274802049371274,4.043241700792299
2009-06-30,214.79,22.14,-1.2291746182109153,2.8810408921933206,4.110215510404236
2009-07-31,214.726,22.18,-1.9587610037622771,2.6376677464136966,4.596428750175974
2009-08-31,215.445,22.23,-1.4838355663267633,2.4423963133640703,3.9262318796908335
2009-09-30,215.861,22.27,-1.377942862886472,2.4850437183617125,3.8629865812481845
2009-10-31,216.509,22.31,-0.22396829420033848,2.527573529411753,2.7515418236120914
2009-11-30,217.234,22.33,1.9145871744709275,2.150045745654161,0.23545857118323354
2009-12-31,217.347,22.37,2.8141231232083674,1.9598906107566094,-0.854232512451758
2010-01-31,217.488,22.41,2.6211113889767157,2.049180327868849,-0.5719310611078665
2010-02-28,217.281,22.46,2.151336357866529,2.1838034576888044,0.03246709982227536
2010-03-31,217.353,22.46,2.2861714393279886,1.8594104308389925,-0.4267610084889961
2010-04-30,217.403,22.49,2.2067707525304403,1.764705882352935,-0.4420648701775054
2010-05-31,217.29,22.51,2.003548929218568,1.7631103074141175,-0.24043862180445075
2010-06-30,217.199,22.53,1.1215605940686268,1.7615176151761558,0.639957021107529
2010-07-31,217.605,22.59,1.3407784804821077,1.8485121731289356,0.5077336926468279
2010-08-31,217.923,22.62,1.1501775395112546,1.7543859649122862,0.6042084254010316
2010-09-30,218.275,22.67,1.1183122472331775,1.7961383026493083,0.6778260554161308
